Alpha,Energy,Energy2,Variance,AcceptRatio
0.1,243.389,63904.1,4666.08,0.996359
0.15,242.827,62330.6,3365.68,0.99496
0.2,246.371,63233.2,2534.59,0.993353
0.25,245.406,61479.9,1255.94,0.992061
0.3,234.968,55712.5,502.602,0.991497
0.35,242.565,59126.9,289.058,0.989579
0.4,242.435,58883.8,109.081,0.989134
0.45,246.173,60618.8,17.8225,0.98794
0.5,250,62500,0,0.987348
0.55,255.603,65343.5,10.8186,0.986414
0.6,258.918,67094.1,55.4398,0.985194
0.65,268.632,72244.7,81.7097,0.984857
0.7,275.502,76022.1,120.534,0.984369
0.75,279.791,78515.6,232.638,0.983441
0.8,291.393,85105.6,195.542,0.983266
0.85,296.51,88079.1,160.638,0.982033
